grp,id,params,role,conditions,score
,,Frustration,AR,C1,25
,,Overall,AR,C1,55
,1,Mental,VR,C2,25
,,Physical,VR,C2,25
,,Temporal,VR,C2,20
,,Performance,VR,C2,35
,,Effort,VR,C2,25
,,Frustration,VR,C2,35
,,Overall,VR,C2,26
,2,Mental,AR,C2,55
,,Physical,AR,C2,40
,,Temporal,AR,C2,35
,,Performance,AR,C2,10
,,Effort,AR,C2,45
,,Frustration,AR,C2,35
,,Overall,AR,C2,40.5
,3,Mental,VR,C2,45
,,Physical,VR,C2,20
,,Temporal,VR,C2,25
,,Performance,VR,C2,35
,,Effort,VR,C2,45
,,Frustration,VR,C2,20
,,Overall,VR,C2,32.5
,4,Mental,AR,C2,20
,,Physical,AR,C2,35
,,Temporal,AR,C2,75
,,Performance,AR,C2,20
,,Effort,AR,C2,55
,,Frustration,AR,C2,25
,,Overall,AR,C2,38
,1,Mental,VR,C3,25
,,Physical,VR,C3,20
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,25
,,Frustration,VR,C3,20
,,Overall,VR,C3,24.5
,2,Mental,AR,C3,20
,,Physical,AR,C3,55
,,Temporal,AR,C3,30
,,Performance,AR,C3,10
,,Effort,AR,C3,20
,,Frustration,AR,C3,35
,,Overall,AR,C3,29.5
,3,Mental,VR,C3,50
,,Physical,VR,C3,25
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,15
,,Frustration,VR,C3,20
,,Overall,VR,C3,32
,4,Mental,AR,C3,10
,,Physical,AR,C3,35
,,Temporal,AR,C3,20
,,Performance,AR,C3,20
,,Effort,AR,C3,25
,,Frustration,AR,C3,30
,,Overall,AR,C3,21.5
4,1,Mental,VR,C1,25
,,Physical,VR,C1,35
,,Temporal,VR,C1,40
,,Performance,VR,C1,35
,,Effort,VR,C1,75
,,Frustration,VR,C1,35
,,Overall,VR,C1,37
,2,Mental,AR,C1,20
,,Physical,AR,C1,35
,,Temporal,AR,C1,75
,,Performance,AR,C1,50
,,Effort,AR,C1,55
,,Frustration,AR,C1,55
,,Overall,AR,C1,44
,3,Mental,VR,C1,50
,,Physical,VR,C1,10
,,Temporal,VR,C1,25
,,Performance,VR,C1,45
,,Effort,VR,C1,40
,,Frustration,VR,C1,25
,,Overall,VR,C1,33
,4,Mental,AR,C1,55
,,Physical,AR,C1,35
,,Temporal,AR,C1,65
,,Performance,AR,C1,50
,,Effort,AR,C1,25
,,Frustration,AR,C1,45
,,Overall,AR,C1,48.5
,1,Mental,VR,C2,35
,,Physical,VR,C2,35
,,Temporal,VR,C2,20
,,Performance,VR,C2,35
,,Effort,VR,C2,25
,,Frustration,VR,C2,65
,,Overall,VR,C2,34
,2,Mental,AR,C2,30
,,Physical,AR,C2,55
,,Temporal,AR,C2,45
,,Performance,AR,C2,10
,,Effort,AR,C2,20
,,Frustration,AR,C2,45
,,Overall,AR,C2,36.5
,3,Mental,VR,C2,45
,,Physical,VR,C2,10
,,Temporal,VR,C2,55
,,Performance,VR,C2,35
,,Effort,VR,C2,20
,,Frustration,VR,C2,35
,,Overall,VR,C2,35.5
,4,Mental,AR,C2,20
,,Physical,AR,C2,20
,,Temporal,AR,C2,55
,,Performance,AR,C2,20
,,Effort,AR,C2,10
,,Frustration,AR,C2,25
,,Overall,AR,C2,26.5
,1,Mental,VR,C3,20
,,Physical,VR,C3,25
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,25
,,Frustration,VR,C3,20
,,Overall,VR,C3,24
,2,Mental,AR,C3,5
,,Physical,AR,C3,30
,,Temporal,AR,C3,30
,,Performance,AR,C3,10
,,Effort,AR,C3,25
,,Frustration,AR,C3,25
,,Overall,AR,C3,19.5
,3,Mental,VR,C3,25
,,Physical,VR,C3,10
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,10
,,Frustration,VR,C3,45
,,Overall,VR,C3,23.5
,4,Mental,AR,C3,15
,,Physical,AR,C3,20
,,Temporal,AR,C3,20
,,Performance,AR,C3,20
,,Effort,AR,C3,10
,,Frustration,AR,C3,25
,,Overall,AR,C3,18
5,1,Mental,VR,C1,25
,,Physical,VR,C1,35
,,Temporal,VR,C1,70
,,Performance,VR,C1,65
,,Effort,VR,C1,80
,,Frustration,VR,C1,35
,,Overall,VR,C1,46.5
,2,Mental,AR,C1,20
,,Physical,AR,C1,65
,,Temporal,AR,C1,65
,,Performance,AR,C1,45
,,Effort,AR,C1,60
,,Frustration,AR,C1,35
,,Overall,AR,C1,46
,3,Mental,VR,C1,75
,,Physical,VR,C1,55
,,Temporal,VR,C1,65
,,Performance,VR,C1,35
,,Effort,VR,C1,25
,,Frustration,VR,C1,55
,,Overall,VR,C1,58
,4,Mental,AR,C1,45
,,Physical,AR,C1,70
,,Temporal,AR,C1,20
,,Performance,AR,C1,65
,,Effort,AR,C1,75
,,Frustration,AR,C1,45
,,Overall,AR,C1,50
,1,Mental,VR,C2,25
,,Physical,VR,C2,35
,,Temporal,VR,C2,20
,,Performance,VR,C2,35
,,Effort,VR,C2,25
,,Frustration,VR,C2,40
,,Overall,VR,C2,28.5
,2,Mental,AR,C2,50
,,Physical,AR,C2,30
,,Temporal,AR,C2,30
,,Performance,AR,C2,10
,,Effort,AR,C2,25
,,Frustration,AR,C2,35
,,Overall,AR,C2,34
,3,Mental,VR,C2,20
,,Physical,VR,C2,65
,,Temporal,VR,C2,100
,,Performance,VR,C2,35
,,Effort,VR,C2,50
,,Frustration,VR,C2,65
,,Overall,VR,C2,54
,4,Mental,AR,C2,55
,,Physical,AR,C2,20
,,Temporal,AR,C2,10
,,Performance,AR,C2,20
,,Effort,AR,C2,20
,,Frustration,AR,C2,40
,,Overall,AR,C2,30.5
,1,Mental,VR,C3,15
,,Physical,VR,C3,25
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,25
,,Frustration,VR,C3,25
,,Overall,VR,C3,23
,2,Mental,AR,C3,10
,,Physical,AR,C3,35
,,Temporal,AR,C3,30
,,Performance,AR,C3,10
,,Effort,AR,C3,20
,,Frustration,AR,C3,30
,,Overall,AR,C3,22
,3,Mental,VR,C3,20
,,Physical,VR,C3,55
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,5
,,Frustration,VR,C3,55
,,Overall,VR,C3,31.5
,4,Mental,AR,C3,20
,,Physical,AR,C3,10
,,Temporal,AR,C3,20
,,Performance,AR,C3,20
,,Effort,AR,C3,55
,,Frustration,AR,C3,25
,,Overall,AR,C3,22
6,1,Mental,VR,C1,65
,,Physical,VR,C1,35
,,Temporal,VR,C1,25
,,Performance,VR,C1,25
,,Effort,VR,C1,85
,,Frustration,VR,C1,35
,,Overall,VR,C1,46
,2,Mental,AR,C1,85
,,Physical,AR,C1,50
,,Temporal,AR,C1,50
,,Performance,AR,C1,40
,,Effort,AR,C1,65
,,Frustration,AR,C1,35
,,Overall,AR,C1,59.5
,3,Mental,VR,C1,35
,,Physical,VR,C1,75
,,Temporal,VR,C1,40
,,Performance,VR,C1,20
,,Effort,VR,C1,45
,,Frustration,VR,C1,75
,,Overall,VR,C1,47.5
,4,Mental,AR,C1,60
,,Physical,AR,C1,40
,,Temporal,AR,C1,55
,,Performance,AR,C1,20
,,Effort,AR,C1,35
,,Frustration,AR,C1,25
,,Overall,AR,C1,45
,1,Mental,VR,C2,45
,,Physical,VR,C2,35
,,Temporal,VR,C2,10
,,Performance,VR,C2,35
,,Effort,VR,C2,25
,,Frustration,VR,C2,40
,,Overall,VR,C2,32.5
,2,Mental,AR,C2,25
,,Physical,AR,C2,35
,,Temporal,AR,C2,35
,,Performance,AR,C2,10
,,Effort,AR,C2,25
,,Frustration,AR,C2,35
,,Overall,AR,C2,28.5
,3,Mental,VR,C2,20
,,Physical,VR,C2,75
,,Temporal,VR,C2,60
,,Performance,VR,C2,35
,,Effort,VR,C2,30
,,Frustration,VR,C2,35
,,Overall,VR,C2,43
,4,Mental,AR,C2,20
,,Physical,AR,C2,15
,,Temporal,AR,C2,20
,,Performance,AR,C2,20
,,Effort,AR,C2,35
,,Frustration,AR,C2,55
,,Overall,AR,C2,24
,1,Mental,VR,C3,25
,,Physical,VR,C3,35
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,20
,,Frustration,VR,C3,35
,,Overall,VR,C3,28.5
,2,Mental,AR,C3,35
,,Physical,AR,C3,15
,,Temporal,AR,C3,30
,,Performance,AR,C3,10
,,Effort,AR,C3,20
,,Frustration,AR,C3,55
,,Overall,AR,C3,28
,3,Mental,VR,C3,20
,,Physical,VR,C3,75
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,20
,,Frustration,VR,C3,20
,,Overall,VR,C3,33.5
,4,Mental,AR,C3,20
,,Physical,AR,C3,25
,,Temporal,AR,C3,20
,,Performance,AR,C3,20
,,Effort,AR,C3,10
,,Frustration,AR,C3,25
,,Overall,AR,C3,20.5
7,1,Mental,VR,C1,55
,,Physical,VR,C1,60
,,Temporal,VR,C1,60
,,Performance,VR,C1,55
,,Effort,VR,C1,35
,,Frustration,VR,C1,60
,,Overall,VR,C1,55.5
,2,Mental,AR,C1,65
,,Physical,AR,C1,35
,,Temporal,AR,C1,30
,,Performance,AR,C1,35
,,Effort,AR,C1,45
,,Frustration,AR,C1,45
,,Overall,AR,C1,45
,3,Mental,VR,C1,20
,,Physical,VR,C1,45
,,Temporal,VR,C1,55
,,Performance,VR,C1,35
,,Effort,VR,C1,20
,,Frustration,VR,C1,45
,,Overall,VR,C1,36
,4,Mental,AR,C1,35
,,Physical,AR,C1,50
,,Temporal,AR,C1,65
,,Performance,AR,C1,60
,,Effort,AR,C1,40
,,Frustration,AR,C1,35
,,Overall,AR,C1,47
,1,Mental,VR,C2,25
,,Physical,VR,C2,35
,,Temporal,VR,C2,40
,,Performance,VR,C2,35
,,Effort,VR,C2,30
,,Frustration,VR,C2,70
,,Overall,VR,C2,36
,2,Mental,AR,C2,25
,,Physical,AR,C2,55
,,Temporal,AR,C2,40
,,Performance,AR,C2,10
,,Effort,AR,C2,20
,,Frustration,AR,C2,30
,,Overall,AR,C2,32.5
,3,Mental,VR,C2,50
,,Physical,VR,C2,10
,,Temporal,VR,C2,50
,,Performance,VR,C2,35
,,Effort,VR,C2,25
,,Frustration,VR,C2,40
,,Overall,VR,C2,37
,4,Mental,AR,C2,20
,,Physical,AR,C2,35
,,Temporal,AR,C2,20
,,Performance,AR,C2,20
,,Effort,AR,C2,45
,,Frustration,AR,C2,20
,,Overall,AR,C2,25.5
,1,Mental,VR,C3,20
,,Physical,VR,C3,20
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,50
,,Frustration,VR,C3,10
,,Overall,VR,C3,24.5
,2,Mental,AR,C3,25
,,Physical,AR,C3,20
,,Temporal,AR,C3,30
,,Performance,AR,C3,10
,,Effort,AR,C3,10
,,Frustration,AR,C3,20
,,Overall,AR,C3,21.5
,3,Mental,VR,C3,45
,,Physical,VR,C3,10
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,35
,,Frustration,VR,C3,35
,,Overall,VR,C3,31
,4,Mental,AR,C3,45
,,Physical,AR,C3,20
,,Temporal,AR,C3,20
,,Performance,AR,C3,20
,,Effort,AR,C3,10
,,Frustration,AR,C3,25
,,Overall,AR,C3,27
8,1,Mental,VR,C1,25
,,Physical,VR,C1,50
,,Temporal,VR,C1,50
,,Performance,VR,C1,35
,,Effort,VR,C1,25
,,Frustration,VR,C1,50
,,Overall,VR,C1,38.5
,2,Mental,AR,C1,5
,,Physical,AR,C1,65
,,Temporal,AR,C1,60
,,Performance,AR,C1,10
,,Effort,AR,C1,65
,,Frustration,AR,C1,40
,,Overall,AR,C1,38
,3,Mental,VR,C1,60
,,Physical,VR,C1,65
,,Temporal,VR,C1,45
,,Performance,VR,C1,40
,,Effort,VR,C1,55
,,Frustration,VR,C1,65
,,Overall,VR,C1,56
,4,Mental,AR,C1,45
,,Physical,AR,C1,65
,,Temporal,AR,C1,20
,,Performance,AR,C1,85
,,Effort,AR,C1,20
,,Frustration,AR,C1,45
,,Overall,AR,C1,45.5
,1,Mental,VR,C2,25
,,Physical,VR,C2,30
,,Temporal,VR,C2,10
,,Performance,VR,C2,35
,,Effort,VR,C2,25
,,Frustration,VR,C2,35
,,Overall,VR,C2,25
,2,Mental,AR,C2,65
,,Physical,AR,C2,35
,,Temporal,AR,C2,15
,,Performance,AR,C2,10
,,Effort,AR,C2,40
,,Frustration,AR,C2,35
,,Overall,AR,C2,38
,3,Mental,VR,C2,65
,,Physical,VR,C2,45
,,Temporal,VR,C2,10
,,Performance,VR,C2,35
,,Effort,VR,C2,35
,,Frustration,VR,C2,35
,,Overall,VR,C2,41
,4,Mental,AR,C2,20
,,Physical,AR,C2,25
,,Temporal,AR,C2,25
,,Performance,AR,C2,20
,,Effort,AR,C2,30
,,Frustration,AR,C2,55
,,Overall,AR,C2,26.5
,1,Mental,VR,C3,15
,,Physical,VR,C3,35
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,25
,,Frustration,VR,C3,15
,,Overall,VR,C3,24
,2,Mental,AR,C3,40
,,Physical,AR,C3,35
,,Temporal,AR,C3,30
,,Performance,AR,C3,10
,,Effort,AR,C3,20
,,Frustration,AR,C3,15
,,Overall,AR,C3,29.5
,3,Mental,VR,C3,20
,,Physical,VR,C3,20
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,20
,,Frustration,VR,C3,15
,,Overall,VR,C3,22
,4,Mental,AR,C3,20
,,Physical,AR,C3,30
,,Temporal,AR,C3,20
,,Performance,AR,C3,20
,,Effort,AR,C3,35
,,Frustration,AR,C3,25
,,Overall,AR,C3,24
9,1,Mental,VR,C1,75
,,Physical,VR,C1,60
,,Temporal,VR,C1,40
,,Performance,VR,C1,30
,,Effort,VR,C1,65
,,Frustration,VR,C1,60
,,Overall,VR,C1,58
,2,Mental,AR,C1,20
,,Physical,AR,C1,25
,,Temporal,AR,C1,55
,,Performance,AR,C1,50
,,Effort,AR,C1,35
,,Frustration,AR,C1,65
,,Overall,AR,C1,37
,3,Mental,VR,C1,40
,,Physical,VR,C1,65
,,Temporal,VR,C1,35
,,Performance,VR,C1,35
,,Effort,VR,C1,20
,,Frustration,VR,C1,65
,,Overall,VR,C1,44
,4,Mental,AR,C1,55
,,Physical,AR,C1,35
,,Temporal,AR,C1,45
,,Performance,AR,C1,20
,,Effort,AR,C1,10
,,Frustration,AR,C1,35
,,Overall,AR,C1,39
,1,Mental,VR,C2,25
,,Physical,VR,C2,35
,,Temporal,VR,C2,30
,,Performance,VR,C2,35
,,Effort,VR,C2,45
,,Frustration,VR,C2,10
,,Overall,VR,C2,29.5
,2,Mental,AR,C2,35
,,Physical,AR,C2,20
,,Temporal,AR,C2,30
,,Performance,AR,C2,10
,,Effort,AR,C2,30
,,Frustration,AR,C2,35
,,Overall,AR,C2,28
,3,Mental,VR,C2,25
,,Physical,VR,C2,10
,,Temporal,VR,C2,20
,,Performance,VR,C2,35
,,Effort,VR,C2,20
,,Frustration,VR,C2,35
,,Overall,VR,C2,22.5
,4,Mental,AR,C2,20
,,Physical,AR,C2,35
,,Temporal,AR,C2,20
,,Performance,AR,C2,20
,,Effort,AR,C2,10
,,Frustration,AR,C2,20
,,Overall,AR,C2,22
,1,Mental,VR,C3,25
,,Physical,VR,C3,30
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,25
,,Frustration,VR,C3,25
,,Overall,VR,C3,27
,2,Mental,AR,C3,35
,,Physical,AR,C3,55
,,Temporal,AR,C3,35
,,Performance,AR,C3,10
,,Effort,AR,C3,20
,,Frustration,AR,C3,15
,,Overall,AR,C3,33
,3,Mental,VR,C3,5
,,Physical,VR,C3,25
,,Temporal,VR,C3,25
,,Performance,VR,C3,35
,,Effort,VR,C3,20
,,Frustration,VR,C3,35
,,Overall,VR,C3,20.5
,4,Mental,AR,C3,65
,,Physical,AR,C3,35
,,Temporal,AR,C3,20
,,Performance,AR,C3,20
,,Effort,AR,C3,10
,,Frustration,AR,C3,25
,,Overall,AR,C3,36
