qus,ans,role
Q2 ...rate the overall video quality?,4,VR
Q3 ...rate the overall audio quality?,6,VR
Q4 ...able to effectively communicate with others?,4,VR
Q5 ...comfortable communicating with remote user avatar?,6,VR
Q6 ...got necessary feedback from others?,7,VR
Q7 ...tools were sufficient to perform your tasks?,7,VR
Q8 ...feel you were there in the remote space?,7,VR
Q9 ...feel the presence of the remote users?,6,VR
Q10 ...overall experience comfortable for you?,5,VR
Q1 ...able to clearly hear and see in the remote space?,4,VR
Q2 ...rate the overall video quality?,7,VR
Q3 ...rate the overall audio quality?,7,VR
Q4 ...able to effectively communicate with others?,5,VR
Q5 ...comfortable communicating with remote user avatar?,5,VR
Q6 ...got necessary feedback from others?,5,VR
Q7 ...tools were sufficient to perform your tasks?,5,VR
Q8 ...feel you were there in the remote space?,6,VR
Q9 ...feel the presence of the remote users?,7,VR
Q10 ...overall experience comfortable for you?,7,VR
Q1 ...able to clearly hear and see in the remote space?,6,VR
Q2 ...rate the overall video quality?,7,VR
Q3 ...rate the overall audio quality?,6,VR
Q4 ...able to effectively communicate with others?,6,VR
Q5 ...comfortable communicating with remote user avatar?,5,VR
Q6 ...got necessary feedback from others?,7,VR
Q7 ...tools were sufficient to perform your tasks?,7,VR
Q8 ...feel you were there in the remote space?,6,VR
Q9 ...feel the presence of the remote users?,6,VR
Q10 ...overall experience comfortable for you?,7,VR
Q1 ...able to clearly hear and see in the remote space?,6,AR
Q2 ...rate the overall video quality?,7,AR
Q3 ...rate the overall audio quality?,4,AR
Q4 ...able to effectively communicate with others?,6,AR
Q5 ...comfortable communicating with remote user avatar?,5,AR
Q6 ...got necessary feedback from others?,5,AR
Q7 ...tools were sufficient to perform your tasks?,5,AR
Q8 ...feel you were there in the remote space?,3,AR
Q9 ...feel the presence of the remote users?,5,AR
Q10 ...overall experience comfortable for you?,4,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,7,AR
Q3 ...rate the overall audio quality?,4,AR
Q4 ...able to effectively communicate with others?,5,AR
Q5 ...comfortable communicating with remote user avatar?,5,AR
Q6 ...got necessary feedback from others?,3,AR
Q7 ...tools were sufficient to perform your tasks?,5,AR
Q8 ...feel you were there in the remote space?,4,AR
Q9 ...feel the presence of the remote users?,4,AR
Q10 ...overall experience comfortable for you?,5,AR
Q1 ...able to clearly hear and see in the remote space?,3,AR
Q2 ...rate the overall video quality?,5,AR
Q3 ...rate the overall audio quality?,5,AR
Q4 ...able to effectively communicate with others?,5,AR
Q5 ...comfortable communicating with remote user avatar?,3,AR
Q6 ...got necessary feedback from others?,5,AR
Q7 ...tools were sufficient to perform your tasks?,4,AR
Q8 ...feel you were there in the remote space?,7,AR
Q9 ...feel the presence of the remote users?,7,AR
Q10 ...overall experience comfortable for you?,7,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,7,AR
Q3 ...rate the overall audio quality?,5,AR
Q4 ...able to effectively communicate with others?,3,AR
Q5 ...comfortable communicating with remote user avatar?,7,AR
Q6 ...got necessary feedback from others?,5,AR
Q7 ...tools were sufficient to perform your tasks?,5,AR
Q8 ...feel you were there in the remote space?,3,AR
Q9 ...feel the presence of the remote users?,7,AR
Q10 ...overall experience comfortable for you?,6,AR
Q1 ...able to clearly hear and see in the remote space?,3,AR
Q2 ...rate the overall video quality?,5,AR
Q3 ...rate the overall audio quality?,4,AR
Q4 ...able to effectively communicate with others?,7,AR
Q5 ...comfortable communicating with remote user avatar?,6,AR
Q6 ...got necessary feedback from others?,6,AR
Q7 ...tools were sufficient to perform your tasks?,6,AR
Q8 ...feel you were there in the remote space?,7,AR
Q9 ...feel the presence of the remote users?,4,AR
Q10 ...overall experience comfortable for you?,6,AR
Q1 ...able to clearly hear and see in the remote space?,5,AR
Q2 ...rate the overall video quality?,3,AR
Q3 ...rate the overall audio quality?,3,AR
Q4 ...able to effectively communicate with others?,6,AR
Q5 ...comfortable communicating with remote user avatar?,6,AR
Q6 ...got necessary feedback from others?,3,AR
Q7 ...tools were sufficient to perform your tasks?,4,AR
Q8 ...feel you were there in the remote space?,5,AR
Q9 ...feel the presence of the remote users?,6,AR
Q10 ...overall experience comfortable for you?,7,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,5,AR
Q3 ...rate the overall audio quality?,6,AR
Q4 ...able to effectively communicate with others?,7,AR
Q5 ...comfortable communicating with remote user avatar?,7,AR
Q6 ...got necessary feedback from others?,5,AR
Q7 ...tools were sufficient to perform your tasks?,4,AR
Q8 ...feel you were there in the remote space?,4,AR
Q9 ...feel the presence of the remote users?,3,AR
Q10 ...overall experience comfortable for you?,5,AR
Q1 ...able to clearly hear and see in the remote space?,6,AR
Q2 ...rate the overall video quality?,5,AR
Q3 ...rate the overall audio quality?,4,AR
Q4 ...able to effectively communicate with others?,3,AR
Q5 ...comfortable communicating with remote user avatar?,7,AR
Q6 ...got necessary feedback from others?,4,AR
Q7 ...tools were sufficient to perform your tasks?,4,AR
Q8 ...feel you were there in the remote space?,5,AR
Q9 ...feel the presence of the remote users?,7,AR
Q10 ...overall experience comfortable for you?,7,AR
Q1 ...able to clearly hear and see in the remote space?,7,AR
Q2 ...rate the overall video quality?,7,AR
Q3 ...rate the overall audio quality?,7,AR
Q4 ...able to effectively communicate with others?,6,AR
Q5 ...comfortable communicating with remote user avatar?,5,AR
Q6 ...got necessary feedback from others?,5,AR
Q7 ...tools were sufficient to perform your tasks?,6,AR
Q8 ...feel you were there in the remote space?,6,AR
Q9 ...feel the presence of the remote users?,7,AR
Q10 ...overall experience comfortable for you?,5,AR
Q1 ...able to clearly hear and see in the remote space?,7,AR
Q2 ...rate the overall video quality?,7,AR
Q3 ...rate the overall audio quality?,6,AR
Q4 ...able to effectively communicate with others?,5,AR
Q5 ...comfortable communicating with remote user avatar?,6,AR
Q6 ...got necessary feedback from others?,4,AR
Q7 ...tools were sufficient to perform your tasks?,5,AR
Q8 ...feel you were there in the remote space?,7,AR
Q9 ...feel the presence of the remote users?,7,AR
Q10 ...overall experience comfortable for you?,6,AR
Q1 ...able to clearly hear and see in the remote space?,3,AR
Q2 ...rate the overall video quality?,4,AR
Q3 ...rate the overall audio quality?,5,AR
Q4 ...able to effectively communicate with others?,5,AR
Q5 ...comfortable communicating with remote user avatar?,3,AR
Q6 ...got necessary feedback from others?,7,AR
Q7 ...tools were sufficient to perform your tasks?,3,AR
Q8 ...feel you were there in the remote space?,4,AR
Q9 ...feel the presence of the remote users?,3,AR
Q10 ...overall experience comfortable for you?,5,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,4,AR
Q3 ...rate the overall audio quality?,4,AR
Q4 ...able to effectively communicate with others?,3,AR
Q5 ...comfortable communicating with remote user avatar?,4,AR
Q6 ...got necessary feedback from others?,3,AR
Q7 ...tools were sufficient to perform your tasks?,5,AR
Q8 ...feel you were there in the remote space?,7,AR
Q9 ...feel the presence of the remote users?,6,AR
Q10 ...overall experience comfortable for you?,4,AR
Q1 ...able to clearly hear and see in the remote space?,6,AR
Q2 ...rate the overall video quality?,5,AR
Q3 ...rate the overall audio quality?,4,AR
Q4 ...able to effectively communicate with others?,6,AR
Q5 ...comfortable communicating with remote user avatar?,7,AR
Q6 ...got necessary feedback from others?,6,AR
Q7 ...tools were sufficient to perform your tasks?,7,AR
Q8 ...feel you were there in the remote space?,4,AR
Q9 ...feel the presence of the remote users?,5,AR
Q10 ...overall experience comfortable for you?,7,AR
Q1 ...able to clearly hear and see in the remote space?,5,AR
Q2 ...rate the overall video quality?,4,AR
Q3 ...rate the overall audio quality?,7,AR
Q4 ...able to effectively communicate with others?,4,AR
Q5 ...comfortable communicating with remote user avatar?,7,AR
Q6 ...got necessary feedback from others?,7,AR
Q7 ...tools were sufficient to perform your tasks?,3,AR
Q8 ...feel you were there in the remote space?,7,AR
Q9 ...feel the presence of the remote users?,7,AR
Q10 ...overall experience comfortable for you?,5,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,7,AR
Q3 ...rate the overall audio quality?,5,AR
Q4 ...able to effectively communicate with others?,3,AR
Q5 ...comfortable communicating with remote user avatar?,5,AR
Q6 ...got necessary feedback from others?,5,AR
Q7 ...tools were sufficient to perform your tasks?,6,AR
Q8 ...feel you were there in the remote space?,4,AR
Q9 ...feel the presence of the remote users?,3,AR
Q10 ...overall experience comfortable for you?,4,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,4,AR
Q3 ...rate the overall audio quality?,5,AR
Q4 ...able to effectively communicate with others?,6,AR
Q5 ...comfortable communicating with remote user avatar?,7,AR
Q6 ...got necessary feedback from others?,6,AR
Q7 ...tools were sufficient to perform your tasks?,5,AR
Q8 ...feel you were there in the remote space?,7,AR
Q9 ...feel the presence of the remote users?,6,AR
Q10 ...overall experience comfortable for you?,7,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,6,AR
Q3 ...rate the overall audio quality?,4,AR
Q4 ...able to effectively communicate with others?,5,AR
Q5 ...comfortable communicating with remote user avatar?,3,AR
Q6 ...got necessary feedback from others?,7,AR
Q7 ...tools were sufficient to perform your tasks?,5,AR
Q8 ...feel you were there in the remote space?,3,AR
Q9 ...feel the presence of the remote users?,3,AR
Q10 ...overall experience comfortable for you?,7,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,7,AR
Q3 ...rate the overall audio quality?,6,AR
Q4 ...able to effectively communicate with others?,4,AR
Q5 ...comfortable communicating with remote user avatar?,5,AR
Q6 ...got necessary feedback from others?,7,AR
Q7 ...tools were sufficient to perform your tasks?,7,AR
Q8 ...feel you were there in the remote space?,7,AR
Q9 ...feel the presence of the remote users?,3,AR
Q10 ...overall experience comfortable for you?,4,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,7,AR
Q3 ...rate the overall audio quality?,5,AR
Q4 ...able to effectively communicate with others?,6,AR
Q5 ...comfortable communicating with remote user avatar?,4,AR
Q6 ...got necessary feedback from others?,3,AR
Q7 ...tools were sufficient to perform your tasks?,6,AR
Q8 ...feel you were there in the remote space?,7,AR
Q9 ...feel the presence of the remote users?,5,AR
Q10 ...overall experience comfortable for you?,3,AR
Q1 ...able to clearly hear and see in the remote space?,5,AR
Q2 ...rate the overall video quality?,7,AR
Q3 ...rate the overall audio quality?,6,AR
Q4 ...able to effectively communicate with others?,7,AR
Q5 ...comfortable communicating with remote user avatar?,3,AR
Q6 ...got necessary feedback from others?,7,AR
Q7 ...tools were sufficient to perform your tasks?,7,AR
Q8 ...feel you were there in the remote space?,4,AR
Q9 ...feel the presence of the remote users?,5,AR
Q10 ...overall experience comfortable for you?,6,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,7,AR
Q3 ...rate the overall audio quality?,7,AR
Q4 ...able to effectively communicate with others?,4,AR
Q5 ...comfortable communicating with remote user avatar?,7,AR
Q6 ...got necessary feedback from others?,3,AR
Q7 ...tools were sufficient to perform your tasks?,6,AR
Q8 ...feel you were there in the remote space?,4,AR
Q9 ...feel the presence of the remote users?,4,AR
Q10 ...overall experience comfortable for you?,4,AR
Q1 ...able to clearly hear and see in the remote space?,6,AR
Q2 ...rate the overall video quality?,6,AR
Q3 ...rate the overall audio quality?,4,AR
Q4 ...able to effectively communicate with others?,4,AR
Q5 ...comfortable communicating with remote user avatar?,7,AR
Q6 ...got necessary feedback from others?,7,AR
Q7 ...tools were sufficient to perform your tasks?,4,AR
Q8 ...feel you were there in the remote space?,6,AR
Q9 ...feel the presence of the remote users?,7,AR
Q10 ...overall experience comfortable for you?,5,AR
Q1 ...able to clearly hear and see in the remote space?,4,AR
Q2 ...rate the overall video quality?,6,AR
Q3 ...rate the overall audio quality?,6,AR
Q4 ...able to effectively communicate with others?,5,AR
Q5 ...comfortable communicating with remote user avatar?,5,AR
Q6 ...got necessary feedback from others?,5,AR
Q7 ...tools were sufficient to perform your tasks?,4,AR
Q8 ...feel you were there in the remote space?,7,AR
Q9 ...feel the presence of the remote users?,7,AR
Q10 ...overall experience comfortable for you?,5,AR
Q1 ...able to clearly hear and see in the remote space?,6,AR
Q2 ...rate the overall video quality?,3,AR
Q3 ...rate the overall audio quality?,5,AR
Q4 ...able to effectively communicate with others?,5,AR
Q5 ...comfortable communicating with remote user avatar?,3,AR
Q6 ...got necessary feedback from others?,5,AR
Q7 ...tools were sufficient to perform your tasks?,6,AR
Q8 ...feel you were there in the remote space?,5,AR
Q9 ...feel the presence of the remote users?,7,AR
Q10 ...overall experience comfortable for you?,3,AR
